Player
Boubacar Traoré
Mike Trésor
Kieran Trippier
Leandro Trossard
Auston Trusty
Kostas Tsimikas
Matt Turner
Destiny Udogie
Lesley Ugochukwu
Enes Ünal
Virgil van Dijk
Raphaël Varane
Alejo Véliz
Joël Veltman
Micky van de Ven
Bart Verbruggen
Guglielmo Vicario
Fabio Vieira
Carlos Vinícius
Vitinho
Odisseas Vlachodimos
Kyle Walker
Aaron Wan-Bissaka
Joel Ward
James Ward-Prowse
Deivid Washington
Ollie Watkins
Adam Webster
Danny Welbeck
Timo Werner
Adam Wharton
Ben White
Joe White
Neco Williams
Willian
Joe Willock
Callum Wilson
Harry Wilson
Yoane Wissa
Chris Wood
Cauley Woodrow
Joe Worrall
Yehor Yarmoliuk
Ryan Yates
Ashley Young
Illia Zabarnyi
Nicolò Zaniolo
Anass Zaroury
Oleksandr Zinchenko
Kurt Zouma
Martin Ødegaard
